reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,sampling_method,method_number,haul_number_pass_number,species,length_mm,weight_g,sex,maturity,age_structure,age_sample_number,age,genetic_structure,genetic_sample_number,comments
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,55,,,,,,,,,"over counted fish while sampling, capture location uncertain"
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,86,,,,,,,,,"over counted fish while sampling, capture location uncertain"
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,82,,,,,,,,,"over counted fish while sampling, capture location uncertain"
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,41,,,,,,,,,"over counted fish while sampling, capture location uncertain"
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,46,,,,,,,,,"over counted fish while sampling, capture location uncertain"
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,37,,,,,,,,,"over counted fish while sampling, capture location uncertain"
7,Tributary to Missinka River,125194_ds_ef1,00000PARS,0,7,electrofishing,,1,,,,,,,,,,,No fish captured
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,electrofishing,,1,Rainbow Trout,43,0.9,,,,,,,,
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,electrofishing,,1,Rainbow Trout,143,34.6,,,,,,,,NA. Pit Tag ID: 3DD.003E192B0D. Row ID: 368.
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,electrofishing,,1,Rainbow Trout,91,7.5,,,,,,,,NA. Pit Tag ID: 3DD.003E192AEE. Row ID: 369.
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,electrofishing,,1,Rainbow Trout,100,10.4,,,,,,,,NA. Pit Tag ID: 3DD.003E192B16. Row ID: 370.
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,electrofishing,,1,Rainbow Trout,83,7.1,,,,,,,,NA. Pit Tag ID: 3DD.003E192AFC. Row ID: 371.
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,electrofishing,,1,Rainbow Trout,83,9.3,,,,,,,,NA. Pit Tag ID: 3DD.003E192AC9. Row ID: 372.
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,electrofishing,,1,Rainbow Trout,90,9.1,,,,,,,,NA. Pit Tag ID: 3DD.003E192AED. Row ID: 373.
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,electrofishing,,1,Rainbow Trout,84,6.3,,,,,,,,NA. Pit Tag ID: 3DD.003E192B02. Row ID: 374.
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,electrofishing,,1,Rainbow Trout,100,9.7,,,,,,,,NA. Pit Tag ID: 3DD.003E192AFF. Row ID: 375.
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,electrofishing,,1,Rainbow Trout,92,7.7,,,,,,,,NA. Pit Tag ID: 3DD.003E192B03. Row ID: 376.
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,visual observation above water,,1,Fish Unidentified Species,100,,,,,,,,,fork length estimated
