reference_number,gazetted_name,local_name,waterbody_id,reach_number,site_number,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,haul_number_pass_number,ef_seconds,ef_length_m,ef_width_m,enclosure,voltage,frequency,pulse,make,model,gill_net_type,length_m,depth_m,mesh_size,set,date_in,time_in,date_out,time_out,soak_time,habitat,species,stage,age,total_number,min_length_mm,max_length_mm,fish_activity,comments
15,Fern Creek,125261_ds_ef2,00000PARS,0,15,6.4,290,clear,electrofishing,,1,500,21,3.2,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,1,65,65,,
15,Fern Creek,125261_ds_ef2,00000PARS,0,15,6.4,290,clear,electrofishing,,1,500,21,3.2,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,4,66,108,,
15,Fern Creek,125261_ds_ef2,00000PARS,0,15,6.4,290,clear,electrofishing,,1,500,21,3.2,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,juvenile,,2,113,125,,
15,Fern Creek,125261_ds_ef2,00000PARS,0,15,6.4,290,clear,electrofishing,,1,500,21,3.2,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,adult,,3,143,165,,
15,Fern Creek,125261_ds_ef2,00000PARS,0,15,6.4,290,clear,electrofishing,,1,500,21,3.2,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,,,Sculpin (General),,,4,34,67,,
16,Fern Creek,125261_us_ef1,00000PARS,0,16,6.4,290,clear,electrofishing,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,6,47,62,,
16,Fern Creek,125261_us_ef1,00000PARS,0,16,6.4,290,clear,electrofishing,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,6,76,98,,
16,Fern Creek,125261_us_ef1,00000PARS,0,16,6.4,290,clear,electrofishing,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,juvenile,,3,111,132,,
16,Fern Creek,125261_us_ef1,00000PARS,0,16,6.4,290,clear,electrofishing,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,adult,,1,153,153,,
16,Fern Creek,125261_us_ef1,00000PARS,0,16,6.4,290,clear,electrofishing,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,,,Sculpin (General),,,1,73,73,,
